6.099999999999999645e+00,5.999999999999999778e-01,8.000000000000000167e-02,1.800000000000000044e+00,7.099999999999999367e-02,1.400000000000000000e+01,4.500000000000000000e+01,9.933600000000000207e-01,3.379999999999999893e+00,5.400000000000000355e-01,1.100000000000000000e+01,5.000000000000000000e+00
1.030000000000000071e+01,5.300000000000000266e-01,4.799999999999999822e-01,2.500000000000000000e+00,6.300000000000000044e-02,6.000000000000000000e+00,2.500000000000000000e+01,9.998000000000000220e-01,3.120000000000000107e+00,5.899999999999999689e-01,9.300000000000000711e+00,6.000000000000000000e+00
6.900000000000000355e+00,4.899999999999999911e-01,1.900000000000000022e-01,1.699999999999999956e+00,7.900000000000000078e-02,1.300000000000000000e+01,2.600000000000000000e+01,9.954699999999999660e-01,3.379999999999999893e+00,6.400000000000000133e-01,9.800000000000000711e+00,6.000000000000000000e+00
8.699999999999999289e+00,2.899999999999999800e-01,5.200000000000000178e-01,1.600000000000000089e+00,1.130000000000000032e-01,1.200000000000000000e+01,3.700000000000000000e+01,9.969000000000000083e-01,3.250000000000000000e+00,5.799999999999999600e-01,9.500000000000000000e+00,5.000000000000000000e+00
1.290000000000000036e+01,5.000000000000000000e-01,5.500000000000000444e-01,2.799999999999999822e+00,7.199999999999999456e-02,7.000000000000000000e+00,2.400000000000000000e+01,1.000119999999999898e+00,3.089999999999999858e+00,6.800000000000000488e-01,1.090000000000000036e+01,6.000000000000000000e+00
1.119999999999999929e+01,2.800000000000000266e-01,5.600000000000000533e-01,1.899999999999999911e+00,7.499999999999999722e-02,1.700000000000000000e+01,6.000000000000000000e+01,9.979999999999999982e-01,3.160000000000000142e+00,5.799999999999999600e-01,9.800000000000000711e+00,6.000000000000000000e+00
5.900000000000000355e+00,3.950000000000000178e-01,1.300000000000000044e-01,2.399999999999999911e+00,5.600000000000000117e-02,1.400000000000000000e+01,2.800000000000000000e+01,9.936199999999999477e-01,3.620000000000000107e+00,6.700000000000000400e-01,1.240000000000000036e+01,6.000000000000000000e+00
1.080000000000000071e+01,4.500000000000000111e-01,3.300000000000000155e-01,2.500000000000000000e+00,9.900000000000000466e-02,2.000000000000000000e+01,3.800000000000000000e+01,9.981799999999999562e-01,3.240000000000000213e+00,7.099999999999999645e-01,1.080000000000000071e+01,5.000000000000000000e+00
1.009999999999999964e+01,4.299999999999999933e-01,4.000000000000000222e-01,2.600000000000000089e+00,9.199999999999999845e-02,1.300000000000000000e+01,5.200000000000000000e+01,9.983400000000000052e-01,3.220000000000000195e+00,6.400000000000000133e-01,1.000000000000000000e+01,7.000000000000000000e+00
6.599999999999999645e+00,8.549999999999999822e-01,2.000000000000000042e-02,2.399999999999999911e+00,6.199999999999999956e-02,1.500000000000000000e+01,2.300000000000000000e+01,9.962699999999999889e-01,3.540000000000000036e+00,5.999999999999999778e-01,1.100000000000000000e+01,6.000000000000000000e+00
8.900000000000000355e+00,4.799999999999999822e-01,2.399999999999999911e-01,2.850000000000000089e+00,9.400000000000000022e-02,3.500000000000000000e+01,1.060000000000000000e+02,9.981999999999999762e-01,3.100000000000000089e+00,5.300000000000000266e-01,9.199999999999999289e+00,5.000000000000000000e+00
1.090000000000000036e+01,5.300000000000000266e-01,4.899999999999999911e-01,4.599999999999999645e+00,1.179999999999999938e-01,1.000000000000000000e+01,1.700000000000000000e+01,1.000199999999999978e+00,3.069999999999999840e+00,5.600000000000000533e-01,1.169999999999999929e+01,6.000000000000000000e+00
7.099999999999999645e+00,6.850000000000000533e-01,3.499999999999999778e-01,2.000000000000000000e+00,8.799999999999999489e-02,9.000000000000000000e+00,9.200000000000000000e+01,9.962999999999999634e-01,3.279999999999999805e+00,6.199999999999999956e-01,9.400000000000000355e+00,5.000000000000000000e+00
9.300000000000000711e+00,4.799999999999999822e-01,2.899999999999999800e-01,2.100000000000000089e+00,1.270000000000000018e-01,6.000000000000000000e+00,1.600000000000000000e+01,9.968000000000000194e-01,3.220000000000000195e+00,7.199999999999999734e-01,1.119999999999999929e+01,5.000000000000000000e+00
